Pop ID,Private,Sites,Variant_Sites,Polymorphic_Sites,percent_Polymorphic_Loci,Num_Indv,Var,StdErr,P,Var,StdErr,Obs_Het,Var,StdErr,Obs_Hom,Var,StdErr,Exp_Het,Var,StdErr,Exp_Hom,Var,StdErr,Pi,Var,StdErr,Fis,Var,StdErr
Africa Mediterannean,5069,3343099,22578,13888,0.41542,38.18517,4.33306,0.00114,0.99889,0.0005,0.00001,0.00208,0.00191,0.00002,0.99792,0.00191,0.00002,0.00122,0.00055,0.00001,0.99878,0.00055,0.00001,0.00123,0.00057,0.00001,-0.00117,0.00236,0.00114
North America,2244,4572138,30314,14802,0.32374,20.92907,2.67224,0.00076,0.99894,0.00048,0.00001,0.00201,0.00185,0.00002,0.99799,0.00185,0.00002,0.00116,0.00053,0.00001,0.99884,0.00053,0.00001,0.00119,0.00056,0.00001,-0.00129,0.002,0.00076
South Africa,10647,967217,22898,19843,2.05156,11.62039,0.29255,0.00055,0.99546,0.00122,0.00004,0.00098,0.00031,0.00002,0.99902,0.00031,0.00002,0.0066,0.00238,0.00005,0.9934,0.00238,0.00005,0.0069,0.00259,0.00005,0.0159,0.01554,0.00055
